average_contrast,prompt_length
28.402331972940573,1066
84.15687317274634,611
19.362609521194397,335
42.226083727286955,551
21.96646623603482,313
65.71201903198461,352
26.178561974976542,513
50.49811991811398,638
26.918342472695457,464
31.428337492146,517
45.54387119599452,700
17.381494094773885,437
52.38175499613221,510
27.31849073123437,1342
57.295585313774176,524
45.27901696714239,391
45.53781666615475,596
54.432167044936755,1043
42.47317999486092,761
39.511428222408625,466
27.208420359740217,431
45.87370843285035,800
30.422726815177857,685
45.65705165677458,867
33.069272600619655,361
92.90929691306268,443
22.062863038501437,558
28.21186224531392,420
28.068497344564037,861
61.36959394406352,470
55.18900257846111,347
22.017725664079393,507
44.257969486400945,587
27.1394605725621,541
17.825239337106243,439
41.6756322318143,480
55.45036643413385,357
60.24469915827209,338
26.779231274955595,469
24.325778089445866,365
35.481728879192275,639
16.418168192382954,612
30.85847997995307,387
77.564264958071,389
67.21902846123561,719
39.09289718700576,445
50.74078429664741,641
87.71331233458072,547
43.8464427677002,676
16.971188591551535,343
14.59442216224376,475
35.15122889365747,701
38.17229551332379,573
32.883575409095045,374
35.802362166011505,877
36.437060866427245,513
23.761051885656027,729
25.485862949529366,472
18.14263080049319,411
19.97150053934188,365
37.10974979443433,466
20.593823916799114,576
44.931299930833966,619
32.776660031787536,572
39.151862877765495,522
65.94345301666182,434
44.71434747589216,516
71.91712738903091,413
20.605738352789064,436
28.674092755618872,503
49.93659810907241,398
83.04199716725121,721
74.29920388702274,684
53.29991292269391,1013
47.21106458154557,533
38.47737400827423,293
41.39112417359627,460
28.889826317509065,345
10.352390358549185,263
38.99248115860808,538
25.177507813860117,643
40.26360418260756,617
28.761135346671228,446
18.327850624961616,357
46.11319645621046,503
55.96984124611086,399
66.70754746591672,344
18.266392138183488,466
44.244890736827635,336
31.230233192301075,419
41.39388244209793,514
20.071486481697153,321
29.41364783181321,680
26.9388617254788,320
16.315814996410527,388
18.283721492472814,379
21.990566159688893,629
26.309203099860927,579
35.353213148547944,393
11.310383846403576,627
34.75541422817245,981
45.00477833236249,925
39.69903204149667,344
37.68800253059834,735
17.634148121995935,451
47.68980747751133,690
27.01818581643448,525
46.51469014875625,331
28.90649753969817,418
21.325476597185567,404
14.771166822220378,320
23.35555956513157,644
70.38290450259893,474
23.145048044188623,503
34.39858957410897,762
