prompt_length,file_size_bytes
1066,80908381
611,17460090
335,38995803
551,4788004
313,10238549
352,14001874
513,11027955
638,174726221
464,5229961
517,15721896
700,37939463
437,16690149
510,21173133
1342,16520926
524,10156144
391,8880085
596,15291354
1043,16766249
761,71008268
466,10807896
431,27889830
800,6480212
685,9765339
867,25714106
361,97981603
443,474576329
558,8392946
420,29752912
861,9942665
470,31946624
347,9767092
507,10958680
587,7843555
541,9490101
439,20361031
480,14883130
357,43605914
338,331028299
469,7509017
365,27660203
639,29002055
612,30207661
387,14144414
389,16532359
719,21334332
445,6954176
641,47763358
547,8735157
676,16586968
343,19703459
475,9560228
701,5355272
573,11647223
374,159366661
877,33683215
513,17916625
729,9138282
472,6000245
411,7109562
365,10528461
466,85852041
576,25573007
619,29266776
572,16968734
522,15544744
434,10717637
516,15372590
413,16192436
436,4603327
503,29244853
398,31018693
721,10439438
684,7823755
1013,5234199
533,15134202
293,9405924
460,12117079
345,69661619
263,5308534
538,9422897
643,54038618
617,10564818
446,229774872
357,33641142
503,422990974
399,21802308
344,16968061
466,18587558
336,255456380
419,7818546
514,14400975
321,80678162
680,8518211
320,19109030
388,10318652
379,5628397
629,7104076
579,9843460
393,13715489
627,23499793
981,5176906
925,251042128
344,26511081
735,51392231
451,20906394
690,133888317
525,9544150
331,7352423
418,17449935
404,12075972
320,11954219
644,13887824
474,24284764
503,211925709
762,13546229
339,11812363
494,9551479
539,111257962
365,18169045
751,70127799
589,8919974
404,9481737
424,4669344
630,10894716
208,7483750
349,5179524
615,5836670
478,5034953
301,7073334
406,17397510
405,16977277
424,32629035
417,8269253
848,8897977
527,21782478
550,14005305
623,4498546
354,33331270
486,34099744
568,8076109
713,13497041
593,41490857
454,6668603
467,5265933
428,10320708
900,33371175
817,3963582
487,31311051
451,6014766
711,34865747
368,7300349
315,134748739
602,9533052
502,6382381
718,47562661
352,40347080
1034,23320985
395,137877457
380,102828473
713,11181562
529,12600028
791,12472497
348,10359084
472,7227219
387,296324094
369,4479459
401,6807891
623,7521010
270,5830061
347,131651331
513,8144961
833,6380374
453,258307421
499,5513606
275,5503817
656,50399962
558,8938575
396,7270085
587,5342519
551,24722578
699,9044397
683,10402498
473,140076350
587,17282155
562,4304501
565,4334307
611,12824410
296,4314938
325,8706016
442,38667201
459,6013972
353,113743451
720,52131679
473,85607845
404,5756394
500,91542816
560,11141673
467,6136379
495,11645837
951,24498210
628,26451814
586,16735102
593,9210620
615,31483807
557,11657791
901,12756344
496,18714521
537,10692863
679,10260983
425,9778154
410,16068740
655,18525577
289,182216993
671,52178090
467,23959166
281,13621923
553,6188196
300,11159902
416,14433427
602,55655530
369,24828166
271,26726258
343,8386228
506,28648445
520,13890358
371,31182423
443,9669490
361,7736485
863,10581105
410,8112318
491,131837984
746,13064781
391,12574380
342,198920729
423,17547135
281,15688630
290,8067146
553,24210199
390,19393213
332,13499354
456,23462406
437,8770273
520,73940451
601,11703364
283,8159151
367,163570412
389,40256353
656,7596682
478,44166389
840,11052085
424,8147153
526,7330479
853,65628005
430,115418090
585,37410330
789,4807567
340,5216998
893,8450567
761,5554219
444,16162596
387,115036165
385,57839525
488,5979126
536,7921942
420,9698143
339,70142895
504,11886980
417,13811565
515,138954297
962,5814416
966,30253644
715,14882013
399,362417526
862,14609007
537,20929878
317,153349787
336,294498866
235,201171944
467,19042675
428,6784906
590,15863102
353,10865026
666,4490788
578,8189207
849,10758819
390,11337703
647,51181071
827,5574670
803,9563881
396,13853777
242,37146556
313,67874734
268,6885866
262,64473819
735,115047896
349,206711303
572,16630042
380,8058795
302,22132656
396,167506593
622,97381685
370,18348421
509,7258417
394,13958019
330,8454568
625,73430346
307,19550231
572,39704659
542,11887340
591,12259844
884,49321602
540,14667656
285,6695624
475,20101670
527,8260366
857,19458844
677,12138489
492,8436592
414,8557950
493,14487940
594,45082080
743,57604773
433,72561593
883,51442228
900,5829498
587,5881697
258,38450296
635,48844972
836,9474319
548,82915389
532,10175531
592,285704773
270,8732051
517,47444456
361,7407555
543,7947737
317,8136004
441,26250071
610,10297732
706,12290744
604,4888835
794,107992433
492,17270873
898,7380365
665,9268610
386,66510118
601,82888379
726,76327771
308,9109309
556,14397395
415,8299657
509,42612194
431,23610379
450,4745319
388,9950431
550,8292413
295,5565996
780,13802466
570,120333051
769,6054633
780,16587310
603,5090556
510,6915158
694,8597669
497,12031299
410,28109618
954,45489717
357,182090492
503,60137427
463,9220131
635,11470167
326,8488867
1262,10995472
346,9650651
276,148466076
482,8553517
452,5219817
416,7485276
546,7960635
325,166422723
408,9348262
454,4993530
453,13316090
406,12228822
275,9484951
439,48874563
346,150366597
946,55674277
346,13013232
654,22951369
587,13223277
469,21328078
473,19033575
409,8551969
470,17939000
318,6476946
663,8670820
486,23014320
621,5749407
429,9262914
518,39506827
364,4672414
381,32976138
702,34651407
571,7903334
581,6732488
528,68703354
469,22877771
441,6061127
543,77337218
358,13560755
1391,16640307
457,13936963
923,19423573
506,6568334
461,60482135
606,12235411
327,16847944
496,5431084
274,91541169
329,25664593
311,17722995
453,9921214
498,7035133
805,5979343
728,7729594
452,16806950
642,8367782
486,34296832
519,35029003
424,9805174
401,4695902
576,8817378
460,10124708
738,308299091
485,12936307
593,8545863
486,90623518
458,30436847
657,20591047
307,34410898
345,46902840
395,9506667
416,30814817
391,6851776
979,7588007
421,36276442
603,9655557
338,5880620
550,7483264
772,31700463
590,10171531
463,16529302
577,12313030
525,17519769
353,9898616
508,4363753
293,8843578
468,5154714
1017,18780596
357,6621454
334,5852479
421,52764411
573,5690347
489,23557108
601,6176281
486,94915743
346,45556839
408,10106943
483,52217810
387,11504943
489,5737825
487,13461242
593,8665603
998,20080016
545,5779445
671,5456415
478,9853700
485,4360740
454,12643420
475,25409487
555,7249514
553,8591633
714,56108581
703,10071917
498,10558817
534,7768741
278,12520293
353,42342119
372,85998835
503,45473043
591,9113318
435,28813968
681,44368110
625,12752056
549,11703412
660,17631866
524,12271221
536,5725051
821,7457271
591,45651785
485,11246013
494,40660487
402,17406998
327,15790404
603,628034628
370,69181560
420,8642956
562,17932418
339,15527185
1020,45072067
348,9253597
496,14144353
510,26591248
351,21689264
884,14039644
435,19274239
348,9898129
410,119919507
706,17164841
787,6524169
818,5100381
293,27634005
436,5701829
796,8645338
296,12631168
472,38565836
245,26778727
759,10283659
443,75266412
447,27956298
675,5904136
374,6976273
347,7707161
920,14385106
427,8712882
672,16867809
289,46784266
782,8129606
510,12424457
1105,11104647
464,4112959
330,10636240
827,39652267
400,9391196
372,7111492
456,24389977
743,47049293
387,107803764
561,4151845
446,6353359
450,11934774
409,7229321
673,19902763
445,6893471
668,28007025
454,8280405
418,49055415
402,8092846
429,5289069
436,8526809
439,8920999
561,42530805
586,6464969
564,22777055
459,13703715
508,25839250
488,6366907
496,10350013
528,5388968
650,5873074
477,105897838
632,29716945
501,7629783
478,111313361
219,26146588
241,77392940
412,7327637
354,35259061
469,18201145
467,24983134
590,11604451
571,7649852
358,72232503
555,39936443
567,401005040
370,15709114
439,32219835
725,20195740
655,8244925
691,24336771
504,15730192
582,6907182
353,86750845
380,43588498
620,15450753
483,21534141
480,12010679
443,16359067
491,26777309
402,6829418
401,33136176
583,8986939
433,48159138
822,75537894
481,18682458
393,20417366
600,77474276
992,27196114
439,42237185
521,105683282
412,22728336
530,13755306
484,5350957
454,23867231
356,18478706
1297,22909254
580,3948970
600,43567144
286,7855948
561,15245262
423,22344747
462,56705182
335,28185413
519,7003028
912,4739686
944,4914717
433,10909781
334,24821348
506,147312820
378,16529889
578,4351140
431,5771827
419,21505999
616,3950122
783,14088963
444,6692285
900,432898801
463,30366239
337,7485170
260,15875335
1572,13765041
600,13164867
387,99711192
557,9623314
629,90100904
514,67305261
440,4822119
416,11462978
624,4934507
375,7239887
998,16598038
524,32958016
445,6799255
488,187503078
508,10205071
574,16900138
446,9852591
388,159040596
405,5732641
505,8354667
617,4903323
531,7268366
714,44019856
669,18301405
670,184235076
465,10182637
293,6375075
568,32175158
485,4835854
412,9293135
698,8096237
591,5172095
319,9671365
746,18468182
698,7559696
508,17838064
650,30556023
628,33361470
544,14958948
727,13324648
358,13200124
517,18499547
332,9137471
705,7106447
391,27079989
465,15558581
489,44722482
247,55983958
473,7688578
598,7769240
434,19508899
332,30205803
567,14834305
954,8373981
455,13189647
886,24210365
429,67904207
445,9364627
312,6651675
393,6155719
476,511297631
348,18903352
1108,12207891
515,3993705
361,7980533
525,5232991
783,7995729
480,12113044
787,7769363
488,189714561
700,11648986
390,8046890
305,91742215
387,94575858
378,9595044
525,12177187
746,31445978
963,16351163
502,11010241
585,183324372
653,7451752
644,34846430
357,5398876
436,11695369
415,7403266
427,251242867
558,12612356
817,9053740
494,52647155
792,10018001
559,7891568
448,24287885
587,17043303
644,26011563
305,119197763
321,38603635
476,4426809
527,6073588
582,140405025
612,11468100
993,5996279
624,6330607
880,18466976
459,13385467
506,5404614
465,6589772
486,17318402
967,6221097
567,228185756
770,193331284
429,117551359
644,13379929
1029,13174551
516,57062687
535,16308796
663,12280310
563,25155816
553,114458833
267,7605743
702,15730575
516,109453527
463,41759598
730,67903012
525,5358203
352,6298005
567,5421055
742,9711769
610,15720246
451,18852185
408,8745564
420,92562014
275,7166856
305,110612142
380,286481416
649,225933627
503,9434249
660,10765299
722,19278594
441,115455416
419,7805286
333,42577104
588,4957928
283,43821940
708,5011814
360,5298868
606,8066889
534,8971075
287,52616204
467,11427569
599,6365140
327,9987464
452,30438715
369,138218151
1321,37104553
682,18571348
436,9353505
1079,15130545
478,6361703
524,8329236
547,26684229
407,17661929
618,20698689
421,13675489
376,128569669
490,11984339
317,24560506
435,41705232
545,7789562
535,8490638
537,8229736
423,9356550
479,8121915
410,17295580
452,107199032
447,58411964
874,283468697
441,12598415
509,8661285
994,6157946
415,12413662
444,83651586
564,5848622
516,25515551
836,46730067
295,200691551
919,97138884
323,7574987
342,13543618
447,8937584
506,10037156
331,22322032
664,17690012
528,15824935
620,5519252
828,58035959
540,16276139
312,6510122
377,145228420
495,15399517
1281,5419551
389,8856181
607,4129161
1045,12524339
341,4968174
628,8989147
591,16297057
458,13656349
459,77324580
552,256311288
431,6987878
439,44694852
265,12864343
411,25774241
340,8441011
1086,10220926
411,444935590
505,7248928
245,8438915
844,10086552
277,13401161
735,39424112
383,10049083
536,27501765
597,39861024
451,14322630
572,8846763
474,60286648
814,19380990
394,188406123
333,11568711
255,158273864
324,24206855
488,42335752
443,7022690
793,7998896
418,330540285
500,59989972
439,38301224
329,6090296
745,5539145
516,47987782
501,15283061
462,9431898
393,39009560
631,5770860
493,144430518
497,17888220
808,11861464
254,12098510
439,68807560
428,16864741
391,10659869
404,147171921
1017,364717607
704,12862539
422,14309758
455,143010835
518,13313147
392,112529972
680,34887842
260,13074201
828,12261997
428,26859043
429,147417825
369,29065512
497,39660254
414,31871718
508,58934994
625,5941701
478,4688591
355,81437404
618,33741995
562,11760237
449,9635733
1090,69032797
845,257355736
416,59549352
626,10099365
647,12949952
369,10769100
511,13617082
493,7076984
488,291988075
424,11152353
482,55378919
752,8902441
575,154826190
327,11251054
626,4223151
379,4994834
582,6391008
416,12305077
535,29838995
332,75199616
780,11070557
278,4230780
347,16495493
1056,6940352
447,6742600
445,12992207
561,49976889
477,5709887
321,8186126
384,6032450
783,96687743
621,6628436
805,53520833
407,18015826
1032,22113599
487,12556280
559,152320931
278,5687468
468,26119087
669,6792424
405,7110906
658,13837355
638,7050897
972,5653266
554,30470043
775,12588619
852,12613851
635,72905070
657,17936717
294,243650565
300,8761652
345,5949730
928,9348371
477,81782540
370,22571578
439,13072874
347,4484656
428,6567428
614,140293416
759,17195531
689,41269623
659,6627552
