render_count,file_size_bytes
12,80908381
6,17460090
12,38995803
6,4788004
8,10238549
12,14001874
8,11027955
8,174726221
6,5229961
12,15721896
12,37939463
8,16690149
6,21173133
12,16520926
6,10156144
12,8880085
12,15291354
6,16766249
6,71008268
8,10807896
6,27889830
6,6480212
6,9765339
6,25714106
6,97981603
12,474576329
6,8392946
12,29752912
12,9942665
6,31946624
8,9767092
12,10958680
6,7843555
8,9490101
8,20361031
12,14883130
12,43605914
12,331028299
8,7509017
8,27660203
6,29002055
8,30207661
8,14144414
6,16532359
6,21334332
8,6954176
12,47763358
6,8735157
12,16586968
12,19703459
12,9560228
8,5355272
12,11647223
8,159366661
12,33683215
12,17916625
12,9138282
8,6000245
8,7109562
12,10528461
8,85852041
12,25573007
8,29266776
12,16968734
8,15544744
6,10717637
8,15372590
12,16192436
6,4603327
12,29244853
8,31018693
12,10439438
6,7823755
6,5234199
8,15134202
8,9405924
12,12117079
8,69661619
8,5308534
8,9422897
8,54038618
12,10564818
6,229774872
12,33641142
8,422990974
12,21802308
12,16968061
8,18587558
8,255456380
12,7818546
12,14400975
8,80678162
6,8518211
6,19109030
12,10318652
6,5628397
8,7104076
12,9843460
8,13715489
12,23499793
6,5176906
6,251042128
8,26511081
6,51392231
12,20906394
8,133888317
12,9544150
12,7352423
8,17449935
8,12075972
12,11954219
12,13887824
12,24284764
8,211925709
8,13546229
12,11812363
12,9551479
6,111257962
8,18169045
12,70127799
12,8919974
12,9481737
6,4669344
12,10894716
8,7483750
6,5179524
6,5836670
6,5034953
6,7073334
12,17397510
8,16977277
8,32629035
8,8269253
6,8897977
6,21782478
8,14005305
6,4498546
6,33331270
6,34099744
8,8076109
12,13497041
6,41490857
8,6668603
6,5265933
12,10320708
12,33371175
6,3963582
8,31311051
6,6014766
12,34865747
8,7300349
8,134748739
8,9533052
8,6382381
12,47562661
12,40347080
6,23320985
12,137877457
6,102828473
12,11181562
6,12600028
6,12472497
12,10359084
6,7227219
8,296324094
6,4479459
8,6807891
6,7521010
8,5830061
6,131651331
8,8144961
8,6380374
12,258307421
6,5513606
6,5503817
12,50399962
6,8938575
8,7270085
6,5342519
6,24722578
12,9044397
8,10402498
12,140076350
8,17282155
6,4304501
6,4334307
12,12824410
6,4314938
12,8706016
8,38667201
6,6013972
12,113743451
12,52131679
8,85607845
6,5756394
8,91542816
12,11141673
8,6136379
8,11645837
6,24498210
6,26451814
12,16735102
12,9210620
6,31483807
12,11657791
8,12756344
6,18714521
12,10692863
12,10260983
12,9778154
6,16068740
12,18525577
12,182216993
6,52178090
6,23959166
8,13621923
6,6188196
12,11159902
12,14433427
12,55655530
8,24828166
8,26726258
12,8386228
12,28648445
8,13890358
6,31182423
12,9669490
12,7736485
12,10581105
6,8112318
12,131837984
12,13064781
12,12574380
12,198920729
8,17547135
6,15688630
6,8067146
12,24210199
12,19393213
12,13499354
12,23462406
12,8770273
8,73940451
6,11703364
6,8159151
6,163570412
6,40256353
12,7596682
12,44166389
12,11052085
12,8147153
8,7330479
8,65628005
12,115418090
8,37410330
6,4807567
8,5216998
8,8450567
6,5554219
6,16162596
12,115036165
12,57839525
6,5979126
8,7921942
12,9698143
6,70142895
12,11886980
8,13811565
12,138954297
6,5814416
12,30253644
6,14882013
12,362417526
12,14609007
8,20929878
6,153349787
8,294498866
6,201171944
6,19042675
6,6784906
6,15863102
6,10865026
6,4490788
8,8189207
12,10758819
6,11337703
6,51181071
6,5574670
8,9563881
12,13853777
6,37146556
6,67874734
8,6885866
12,64473819
6,115047896
6,206711303
6,16630042
8,8058795
6,22132656
12,167506593
12,97381685
12,18348421
8,7258417
12,13958019
8,8454568
8,73430346
8,19550231
8,39704659
6,11887340
12,12259844
8,49321602
8,14667656
8,6695624
6,20101670
8,8260366
8,19458844
6,12138489
6,8436592
12,8557950
12,14487940
12,45082080
6,57604773
6,72561593
12,51442228
8,5829498
8,5881697
6,38450296
8,48844972
12,9474319
6,82915389
8,10175531
8,285704773
8,8732051
8,47444456
8,7407555
8,7947737
6,8136004
8,26250071
8,10297732
8,12290744
6,4888835
6,107992433
12,17270873
12,7380365
8,9268610
8,66510118
8,82888379
12,76327771
8,9109309
8,14397395
6,8299657
8,42612194
12,23610379
6,4745319
6,9950431
6,8292413
6,5565996
8,13802466
12,120333051
6,6054633
6,16587310
6,5090556
8,6915158
12,8597669
8,12031299
12,28109618
6,45489717
8,182090492
8,60137427
6,9220131
6,11470167
8,8488867
12,10995472
12,9650651
8,148466076
12,8553517
6,5219817
8,7485276
8,7960635
12,166422723
12,9348262
6,4993530
6,13316090
6,12228822
12,9484951
12,48874563
12,150366597
12,55674277
12,13013232
8,22951369
8,13223277
8,21328078
8,19033575
12,8551969
12,17939000
6,6476946
6,8670820
6,23014320
6,5749407
8,9262914
6,39506827
6,4672414
8,32976138
12,34651407
8,7903334
6,6732488
12,68703354
8,22877771
8,6061127
12,77337218
6,13560755
8,16640307
12,13936963
8,19423573
6,6568334
12,60482135
6,12235411
12,16847944
8,5431084
8,91541169
8,25664593
12,17722995
12,9921214
8,7035133
8,5979343
6,7729594
6,16806950
12,8367782
6,34296832
8,35029003
12,9805174
6,4695902
12,8817378
12,10124708
12,308299091
12,12936307
12,8545863
12,90623518
12,30436847
12,20591047
12,34410898
6,46902840
6,9506667
8,30814817
8,6851776
8,7588007
12,36276442
12,9655557
8,5880620
12,7483264
6,31700463
8,10171531
6,16529302
12,12313030
8,17519769
8,9898616
6,4363753
8,8843578
6,5154714
12,18780596
8,6621454
6,5852479
6,52764411
6,5690347
12,23557108
8,6176281
8,94915743
12,45556839
8,10106943
6,52217810
12,11504943
8,5737825
8,13461242
12,8665603
12,20080016
6,5779445
8,5456415
12,9853700
6,4360740
6,12643420
6,25409487
6,7249514
12,8591633
8,56108581
12,10071917
6,10558817
6,7768741
12,12520293
12,42342119
6,85998835
12,45473043
12,9113318
12,28813968
12,44368110
12,12752056
8,11703412
12,17631866
12,12271221
6,5725051
8,7457271
6,45651785
12,11246013
8,40660487
6,17406998
12,15790404
12,628034628
12,69181560
8,8642956
12,17932418
12,15527185
6,45072067
8,9253597
6,14144353
12,26591248
8,21689264
12,14039644
8,19274239
12,9898129
6,119919507
12,17164841
6,6524169
6,5100381
12,27634005
6,5701829
6,8645338
12,12631168
6,38565836
6,26778727
12,10283659
12,75266412
8,27956298
8,5904136
8,6976273
6,7707161
12,14385106
6,8712882
12,16867809
8,46784266
8,8129606
12,12424457
12,11104647
6,4112959
12,10636240
12,39652267
6,9391196
12,7111492
6,24389977
12,47049293
8,107803764
6,4151845
6,6353359
8,11934774
6,7229321
12,19902763
6,6893471
12,28007025
12,8280405
8,49055415
6,8092846
6,5289069
12,8526809
8,8920999
6,42530805
6,6464969
8,22777055
12,13703715
8,25839250
6,6366907
12,10350013
6,5388968
8,5873074
8,105897838
8,29716945
8,7629783
12,111313361
12,26146588
12,77392940
6,7327637
12,35259061
12,18201145
6,24983134
8,11604451
12,7649852
12,72232503
12,39936443
6,401005040
8,15709114
12,32219835
12,20195740
8,8244925
6,24336771
6,15730192
8,6907182
12,86750845
8,43588498
12,15450753
6,21534141
8,12010679
8,16359067
6,26777309
6,6829418
6,33136176
8,8986939
12,48159138
12,75537894
8,18682458
8,20417366
6,77474276
6,27196114
8,42237185
12,105683282
6,22728336
6,13755306
8,5350957
12,23867231
8,18478706
8,22909254
6,3948970
8,43567144
8,7855948
6,15245262
8,22344747
8,56705182
12,28185413
12,7003028
6,4739686
6,4914717
6,10909781
8,24821348
6,147312820
12,16529889
6,4351140
8,5771827
12,21505999
6,3950122
8,14088963
6,6692285
6,432898801
6,30366239
6,7485170
12,15875335
12,13765041
12,13164867
12,99711192
12,9623314
12,90100904
6,67305261
6,4822119
12,11462978
6,4934507
6,7239887
8,16598038
6,32958016
6,6799255
8,187503078
6,10205071
8,16900138
8,9852591
6,159040596
6,5732641
8,8354667
6,4903323
