Metric,Value
psnr_mean,16.264951156847406
psnr_std,1.8381952426995207
psnr_min,12.301602363586426
psnr_max,19.48442840576172
ssim_mean,0.8403444199851064
ssim_std,0.0878644198140258
ssim_min,0.5493632555007935
ssim_max,0.92856764793396
lpips_mean,0.21475718373602087
lpips_std,0.07525670502232042
lpips_min,0.1219409853219986
lpips_max,0.45456477999687195
clip_score_mean,14.928293690536961
clip_score_std,8.286867772710709
clip_score_min,5.902997016906738
clip_score_max,32.751712799072266
generated_view_index_mean,5.0
generated_view_index_std,0.0
generated_view_index_min,5
generated_view_index_max,5
